,fever,chills,cough,fatigue,shortness of breath,sore throat ,rhinorrhea,diarrhea,vomiting,nausea,headache,myalgia,ageusia,confusion,chest pain,anosmia,cyanosis,hypersomnia
cardiovascular diseases,85,7,53,20,89,6,0,9,7,7,8,10,3,2,20,8,1,0
"diabetes mellitus, type 2",130,5,118,21,103,18,4,19,7,7,15,16,5,0,17,17,0,0
down syndrome,2,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
kidney diseases,104,3,79,21,73,11,1,13,8,6,9,7,1,0,3,11,0,0
neoplasms,62,10,22,15,28,0,2,5,11,6,13,3,4,3,0,6,0,0
obesity,137,14,91,18,66,5,2,14,5,4,11,13,8,4,14,19,0,0
pregnancy,159,13,124,24,74,10,3,18,23,14,25,36,1,0,5,12,0,0
"pulmonary disease, chronic obstructive",112,4,99,37,111,15,5,15,10,9,24,21,3,10,9,18,0,0
smoking,55,3,42,13,41,4,3,9,3,5,11,9,2,3,8,11,0,0
transplantation,156,13,83,21,54,5,6,31,10,8,7,10,2,3,3,8,0,0
